z,mu_obs,mu_err,mu_LCDM,mu_DK_RND2
0.028488,35.3355510594,0.226143925635,35.54778622379649,35.54707170113036
0.050043,36.6754415683,0.167114251513,36.8058751804232,36.80513472510321
0.052926,36.8168806729,0.155866408242,36.93206188223155,36.931317916548835
0.070086,37.4403208027,0.158669048234,37.56861895631662,37.567853896224726
0.062668,37.4803312569,0.156270379521,37.31420987911843,37.3134539796268
0.087589,38.2312880884,0.189597973592,38.07932956902767,38.078542646225586
0.078577,37.4880153326,0.155790553548,37.82993530596923,37.82915968305414
0.017227,34.6528548205,0.199535140164,34.436972529650454,34.43627133191192
0.042233,36.3351409577,0.167648033398,36.424975679455756,36.42424468436566
0.045295,36.6329198059,0.165271499987,36.581862147243086,36.581127451772424
0.03648,35.9028802813,0.170400148449,36.097735232299144,36.09701115939497
0.019599,34.5849105142,0.184736519598,34.721026822216444,34.72032283063583
0.100915,38.4564792878,0.167818465426,38.40669219345951,38.40588839648029
0.027342,35.0742634622,0.175738040875,35.45675359931693,35.45604043975957
0.074605,37.5857951062,0.160110641392,37.71123801750057,37.710467345952246
0.026489,35.4739511994,0.19147874559,35.38653297380505,35.38582082781222
0.049922,36.5637135925,0.162480236617,36.800426662779884,36.79968635457669
0.030604,35.5474875749,0.173537588946,35.706819842992,35.70610279926677
0.016345641,34.0357608093,0.14402997371,34.32146921370228,34.32076905230223
0.0154363,33.9288622487,0.149773066605,34.19566218274222,34.194963089579836
0.030529,35.5987234724,0.0905547451176,35.70136958145668,35.70065262718114
0.024525,35.0588114943,0.10395529982,35.216027032310215,35.215317216645026
0.023953,34.9628931602,0.108670309216,35.16384106774824,35.16313192988932
0.026038,35.3604256119,0.110164462529,35.34850392428876,35.34779231383237
0.048948,36.7224923466,0.175878781605,36.75609712915574,36.75535800455361
0.024314,35.0989067311,0.184772695826,35.196917187717034,35.196207622128235
0.015166,34.0945752677,0.21780640315,34.15685117739532,34.15615240156807
0.03572,35.9784201813,0.17455423199,36.05078997913146,36.05006681771917
0.048818,36.3736376383,0.163660035553,36.75011599198642,36.74937702527519
0.0219800059146,34.8477997627,0.190634594378,34.973930630723935,34.9732238277502
0.0275,35.6443099344,0.179523627555,35.4695242578148,35.46881091041922
0.1244,39.0474440635,0.167742220247,38.895081175889494,38.894247173471285
0.036,35.8166920463,0.171121785922,36.06819794036667,36.067474443222274
0.01673,34.2137334689,0.212053128352,34.37257817673278,34.371877563505095
0.016321,33.9968666808,0.207622958381,34.31815227575855,34.31745214331866
0.021793,34.9662747364,0.231469837469,34.95506818462704,34.954361602713384
0.01645,34.1782747061,0.250007930671,34.33546248753546,34.334762203475705
0.023208,35.0760231692,0.230453431037,35.0940040109256,35.09329575527513
0.036457,36.1310606977,0.216601021623,36.09632857104504,36.095604525735666
0.019264,34.9290818261,0.239750047895,34.68303496474003,34.68233136815578
0.017605,34.3341878854,0.270777214079,34.484732074312404,34.48403043181276
0.031528,35.7209576638,0.224419994663,35.77291527701301,35.77219713070963
0.023536,35.1655185904,0.233717264297,35.12501866878483,35.124310024809304
0.016743,34.0023106368,0.247451826306,34.374286465811,34.37358583729817
0.05371,36.47359007,0.220796341332,36.965228544229625,36.964483622255145
0.016991,34.3727214476,0.308392297269,34.406626909566704,34.40592598942053
0.027865,35.079691262,0.221390433935,35.498753162197545,35.49803938075604
0.017173,34.2567548437,0.247302669853,34.43006541595239,34.4293642817368
0.029955,35.9695297947,0.223360506658,35.659217711361066,35.658501441448365
0.016559,34.3359548469,0.25040542174,34.349984740198806,34.34928432801015
0.015,34.1611242178,0.160930618134,34.13267563711828,34.13197705613215
0.0544,36.9482868597,0.0851859276563,36.99403417412066,36.99328840991616
0.1561,39.227736887,0.0831803243516,39.43225821801927,39.43138253627693
0.0393,36.3296338828,0.0983616480332,36.263969968272164,36.26324250720118
0.1241,38.8089373233,0.110959981085,38.889409983833616,38.88857637094411
0.1441,38.8286718588,0.156387993518,39.24203340293084,39.24117361831663
0.1299,38.9767208561,0.129040616704,38.9968439559242,38.99600279555487
0.0784,37.6784334873,0.0863760987398,37.82476908928252,37.82399368738958
0.0583,37.0227081887,0.199697931638,37.15050569526553,37.149755160173186
0.0309,35.9151154293,0.176677068679,35.728203386054005,35.727485989234296
0.0406,36.3635574234,0.164649900237,36.33672692326264,36.33599789706711
0.0152,34.0128062018,0.209050001205,34.161770498998585,34.16107168325993
0.0224,34.9604436109,0.232580853069,35.01572428422281,35.015016984617276
0.016,34.1665118574,0.215338744788,34.27448437445004,34.273784619207795
0.0362,35.9818330401,0.164155647932,36.08055154074683,36.079827803736144
0.0173,34.2481675909,0.210066600914,34.44627601950537,34.44557473588751
0.0312,35.6190668111,0.173133567729,35.7496723764809,35.748954621687055
0.0221,34.8880671183,0.183198718389,34.9859508922937,34.98524394745218
0.016,33.8142603068,0.201710026772,34.27448437445004,34.273784619207795
0.0249,34.7844502384,0.187033320457,35.24959482349553,35.248884563247806
0.0303,35.6227445028,0.169350596107,35.684646662260235,35.68392998106227
0.0283,35.5095000297,0.172739361028,35.53310134774331,35.532387048802924
0.0152,34.2611733597,0.236356060735,34.161770498998585,34.16107168325993
0.0345,35.9597476335,0.205416560749,35.97335355725744,35.97263185757822
0.036,35.6729412003,0.171522593533,36.06819794036667,36.067474443222274
0.0248,35.2550362369,0.177535782419,35.24069222190079,35.23998208022516
0.0292,35.9909847314,0.167312607114,35.60255355092674,35.601838180570276
0.0163,34.428922484,0.206892325236,34.31532154749898,34.31462143973946
0.0187,35.0398652996,0.190583331504,34.61757625723179,34.61687332534507
